sample_id,timestamp,subject_id,session_id,camera_position,lighting_condition,exercise_type,active_arm,rom_elbow,upper_arm_angle_std,torso_sway_range,shoulder_angle_range,rep_duration,up_phase_duration,down_phase_duration,elbow_velocity_mean,elbow_velocity_std,motion_smoothness,elbow_drift_range,mean_visibility,label,error_type,notes
52,2026-05-19T00:00:00,S00_Legacy,session_legacy,side,normal,biceps,right,110.04,22.47,3.09,61.36,1.5,0.75,0.75,140.0,120.0,0.05,0.1,0.95,incorrect,elbow_swing,bad form
53,2026-05-19T00:00:00,S00_Legacy,session_legacy,side,normal,biceps,right,124.51,17.64,2.22,55.12,1.5,0.75,0.75,140.0,120.0,0.05,0.1,0.95,incorrect,elbow_swing,bad form
54,2026-05-19T00:00:00,S00_Legacy,session_legacy,side,normal,biceps,right,119.31,17.18,3.93,49.7,1.5,0.75,0.75,140.0,120.0,0.05,0.1,0.95,incorrect,elbow_swing,bad form
55,2026-05-19T00:00:00,S00_Legacy,session_legacy,side,normal,biceps,right,129.61,15.59,2.75,44.63,1.5,0.75,0.75,140.0,120.0,0.05,0.1,0.95,incorrect,elbow_swing,bad form
56,2026-05-19T00:00:00,S00_Legacy,session_legacy,side,normal,biceps,right,124.97,11.44,1.93,30.47,1.5,0.75,0.75,140.0,120.0,0.05,0.1,0.95,incorrect,elbow_swing,bad form
57,2026-05-19T00:00:00,S00_Legacy,session_legacy,side,normal,biceps,right,125.82,20.0,4.36,53.6,1.5,0.75,0.75,140.0,120.0,0.05,0.1,0.95,incorrect,elbow_swing,bad form
58,2026-05-19T00:00:00,S00_Legacy,session_legacy,side,normal,biceps,right,130.71,18.53,5.4,52.93,1.5,0.75,0.75,140.0,120.0,0.05,0.1,0.95,incorrect,elbow_swing,bad form
59,2026-05-19T00:00:00,S00_Legacy,session_legacy,side,normal,biceps,right,136.11,15.51,4.13,48.87,1.5,0.75,0.75,140.0,120.0,0.05,0.1,0.95,incorrect,elbow_swing,bad form
60,2026-05-19T00:00:00,S00_Legacy,session_legacy,side,normal,biceps,right,133.19,20.97,4.74,60.0,1.5,0.75,0.75,140.0,120.0,0.05,0.1,0.95,incorrect,elbow_swing,bad form
61,2026-05-19T00:00:00,S00_Legacy,session_legacy,side,normal,biceps,right,123.66,20.39,4.83,56.17,1.5,0.75,0.75,140.0,120.0,0.05,0.1,0.95,incorrect,elbow_swing,bad form
62,2026-05-19T00:00:00,S00_Legacy,session_legacy,side,normal,biceps,right,123.62,16.75,3.83,56.19,1.5,0.75,0.75,140.0,120.0,0.05,0.1,0.95,incorrect,elbow_swing,bad form
